                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4987,                 2.4039,                 1.6101,                0.37664,                0.30762,                0.26209,                0.10993,                 1.9131,                 2.6489,                 2.2912,             0.00055122,             0.00055122,             0.00055122
                      2,                 1.5883,                 2.1866,                 1.6803,                0.27551,                0.32068,                0.21057,                0.08016,                 1.9852,                 3.6574,                 2.3258,               0.001085,               0.001085,               0.001085
                      3,                 1.6403,                 2.1277,                 1.7335,                0.38594,                0.44968,                0.34747,                0.15167,                 1.9159,                 2.1621,                 2.1582,              0.0015967,              0.0015967,              0.0015967
                      4,                 1.6492,                 2.0686,                 1.7298,                0.45073,                0.52134,                0.44825,                0.19284,                 1.8244,                  2.045,                 2.1193,               0.001568,               0.001568,               0.001568
                      5,                 1.6018,                 1.9209,                 1.6948,                0.36639,                0.41976,                0.31173,                0.13878,                 1.9721,                 2.1673,                 2.2154,               0.001535,               0.001535,               0.001535
                      6,                 1.5537,                  1.864,                 1.6652,                0.43071,                0.50608,                0.42313,                0.19367,                 1.7902,                 2.0374,                 1.9296,               0.001502,               0.001502,               0.001502
                      7,                 1.5631,                 1.8197,                 1.6521,                0.57361,                0.56585,                0.57642,                0.27817,                 1.6927,                 1.7734,                 1.8855,               0.001469,               0.001469,               0.001469
                      8,                 1.5135,                  1.765,                 1.6236,                0.60088,                0.55913,                 0.5963,                0.30064,                 1.6037,                 1.5943,                 1.7951,               0.001436,               0.001436,               0.001436
                      9,                  1.489,                 1.7182,                 1.6014,                0.62948,                0.57929,                0.62303,                0.30361,                 1.6588,                 1.6835,                  1.859,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4781,                 1.6681,                 1.5957,                0.63747,                0.57648,                0.61551,                0.30787,                 1.6562,                 1.5719,                 1.8729,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.449,                  1.604,                 1.5791,                0.61729,                0.60021,                0.63973,                0.32953,                 1.6247,                 1.6751,                 1.8417,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.4227,                 1.5839,                 1.5545,                0.65233,                0.59327,                0.63131,                0.32868,                 1.5663,                  1.494,                 1.7458,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.4509,                 1.5971,                 1.5766,                0.64532,                0.64791,                0.67736,                0.35463,                 1.5443,                 1.4106,                 1.7146,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.4315,                 1.5174,                 1.5572,                0.71252,                0.68401,                0.73356,                0.40028,                 1.5139,                 1.3374,                 1.6997,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3832,                 1.4962,                 1.5262,                0.61425,                 0.6575,                0.67396,                0.35354,                 1.6232,                 1.4412,                 1.7911,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3937,                 1.4749,                 1.5292,                0.70338,                0.66437,                0.72645,                0.39005,                 1.5112,                 1.3357,                  1.694,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.3582,                 1.4454,                 1.5115,                0.65297,                0.60705,                0.66388,                0.35386,                 1.5311,                 1.4162,                 1.7086,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.3557,                 1.4253,                 1.4969,                0.71951,                0.70503,                0.76999,                0.43293,                  1.431,                 1.2086,                 1.6441,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.3408,                  1.364,                 1.4862,                0.74313,                0.70212,                0.76796,                0.41542,                 1.5578,                 1.2543,                 1.7594,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.3214,                 1.3575,                 1.4818,                0.65966,                0.62128,                 0.6807,                0.38066,                 1.4311,                 1.3439,                 1.6597,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.3309,                 1.3518,                 1.4814,                0.72017,                0.72983,                0.78773,                0.44878,                 1.4355,                 1.1681,                 1.6293,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.3077,                 1.3268,                 1.4653,                0.73477,                0.69229,                0.77095,                0.44207,                 1.4087,                 1.1875,                 1.6097,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.3014,                  1.315,                 1.4588,                0.70739,                0.72843,                0.77399,                0.44639,                 1.4055,                 1.1357,                 1.5848,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2907,                 1.2863,                 1.4483,                0.77861,                0.70074,                0.80052,                0.47189,                 1.3708,                 1.1114,                 1.5664,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.2785,                 1.2491,                 1.4393,                0.73717,                0.73126,                0.79059,                0.45789,                 1.3827,                 1.1071,                 1.5882,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.2509,                 1.2248,                 1.4241,                0.76635,                 0.7542,                0.81455,                0.48117,                 1.3606,                 1.0518,                 1.5534,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.2448,                 1.2025,                 1.4088,                 0.7688,                0.71461,                0.79872,                0.46584,                 1.3558,                 1.0912,                 1.5553,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.2387,                 1.2043,                 1.4152,                0.77523,                0.72651,                0.81321,                0.48589,                 1.3682,                 1.0521,                 1.5566,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.2441,                 1.1868,                 1.4159,                0.77472,                0.74047,                0.80908,                0.47744,                 1.3748,                 1.0639,                 1.5817,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.2414,                 1.1921,                 1.4156,                0.76199,                0.74611,                0.82718,                0.50425,                 1.3303,                 1.0481,                 1.5391,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.2122,                 1.1569,                 1.3901,                0.75303,                0.77997,                0.82265,                0.49225,                 1.2991,                 1.0108,                 1.5011,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.1951,                 1.1204,                 1.3842,                0.81314,                0.76675,                0.83822,                0.50843,                 1.3243,                 0.9606,                 1.5416,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1889,                 1.0936,                 1.3675,                0.80383,                0.76257,                0.84547,                0.52034,                 1.2821,                0.96752,                 1.4929,             0.00061079,             0.00061079,             0.00061079
                     34,                  1.176,                 1.0886,                 1.3599,                 0.7902,                0.78334,                 0.8454,                0.49878,                 1.3482,                0.94901,                 1.5336,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.1799,                 1.0676,                 1.3565,                0.78738,                0.76764,                0.83862,                0.52159,                 1.2728,                0.96498,                 1.4875,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.1707,                 1.0601,                 1.3592,                0.79633,                0.77142,                0.84569,                0.52002,                 1.2837,                0.93991,                  1.507,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.1558,                 1.0392,                 1.3476,                0.81921,                0.79567,                0.87158,                 0.5486,                 1.2245,                0.88619,                 1.4454,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.1289,                 1.0241,                 1.3364,                0.81386,                0.79274,                0.86912,                0.53638,                 1.2711,                0.89294,                 1.4796,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.1364,                 1.0232,                 1.3334,                0.85139,                 0.8027,                 0.8794,                0.55773,                 1.2394,                 0.8532,                 1.4606,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.1049,                0.99713,                 1.3233,                0.83767,                0.82661,                 0.8839,                 0.5592,                  1.241,                0.83786,                 1.4546,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0532,                0.82995,                 1.3268,                0.84945,                0.83759,                0.88644,                0.57071,                 1.2187,                0.82925,                 1.4441,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0235,                0.77494,                 1.3055,                0.84812,                0.81546,                0.88496,                 0.5751,                 1.2024,                0.82652,                 1.4205,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0034,                0.73704,                 1.2846,                0.83353,                0.83216,                0.88702,                0.57878,                 1.1792,                 0.8007,                  1.412,             0.00028072,             0.00028072,             0.00028072
                     44,                0.98093,                0.71947,                  1.271,                0.88524,                 0.8208,                0.89946,                0.58856,                 1.1768,                0.77574,                 1.4123,             0.00024772,             0.00024772,             0.00024772
                     45,                0.96762,                0.68545,                 1.2487,                0.90134,                0.79647,                0.90192,                0.58787,                 1.1824,                0.76968,                 1.4073,             0.00021471,             0.00021471,             0.00021471
                     46,                0.95362,                0.68671,                 1.2542,                0.85757,                0.85585,                0.90349,                0.59907,                 1.1575,                0.76166,                 1.3921,              0.0001817,              0.0001817,              0.0001817
                     47,                 0.9279,                0.67037,                 1.2362,                0.84984,                0.83712,                0.89946,                0.59837,                 1.1392,                0.76262,                 1.3789,              0.0001487,              0.0001487,              0.0001487
                     48,                0.91299,                0.65022,                 1.2147,                0.85715,                0.86526,                0.90343,                0.60034,                 1.1449,                 0.7407,                 1.3861,             0.00011569,             0.00011569,             0.00011569
                     49,                0.90009,                0.63863,                 1.2109,                0.87496,                0.84465,                0.90685,                0.60906,                   1.13,                0.74157,                 1.3734,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.90648,                0.64474,                 1.2133,                0.85681,                0.86044,                0.90624,                0.61075,                 1.1235,                0.73146,                 1.3705,             4.9677e-05,             4.9677e-05,             4.9677e-05
